doy,temp_max_clim,temp_min_clim,dtr_clim,dtr_clearsky,et0_clim,p_wet_clim,amount_clim,outflow_clim
124,30.00059069184604,19.198200056615867,10.80239063523018,14.826836664054952,,0.0655976398898536,6.41617960275561,254445.12622965957
125,30.128829536939985,19.31232366063932,10.81650587630068,14.84095190512545,,0.06356649056600669,6.34007065605564,251573.00265728764
126,30.255739541261047,19.42696169252643,10.828777848734628,14.8532238775594,,0.06155850999040921,6.261557243969433,248782.55032835007
127,30.38129302312059,19.542098878152853,10.839194144967749,14.86364017379252,,0.0595742893297138,6.1806681871614995,246072.5714982287
128,30.505463551397675,19.657718447462138,10.847745103935548,14.872191132760321,,0.057614425836776985,6.097438328585244,243441.72915338917
129,30.628225967120176,19.773802110204585,10.854423856915602,14.878869885740373,,0.055679521579480515,6.011908471794537,240888.55314760646
130,30.749556403626887,19.89033003619839,10.859226367428509,14.88367239625328,,0.05377018209337427,5.924125304477464,238411.44660583913
131,30.869432305218833,20.007280840165368,10.862151465053477,14.886597493878249,,0.05188701496297624,5.834141307431863,236008.6925779789
132,30.987832444210188,20.124631571180753,10.863200873029447,14.887646901854218,,0.05003062833682032,5.742014649239469,233678.46092413558
133,31.104736936291477,20.242357706763734,10.862379229527754,14.886825258352525,,0.04820162938158628,5.647809066932002,231418.81541260253
134,31.220127254120303,20.36043315162233,10.859694102497992,14.884140131322763,,0.04640062268087181,5.551593732978248,229227.72101118462
135,31.33398623905804,20.478830241053544,10.855155998004507,14.879602026829279,,0.044628208584374295,5.453443108955942,227103.0513521544
136,31.44629811097386,20.597519748986652,10.848778361987218,14.87322439081199,,0.042884981513442506,5.353436786306104,225042.59635074463
137,31.55704847604137,20.71647090064464,10.840577575396743,14.865023604221514,,0.04117152822913019,5.251659314600129,223044.0699567708
138,31.666224332456576,20.835651389786157,10.830572942670427,14.855018971495198,,0.039488426069038844,5.148200017781554,221105.11801873217
139,31.773814074010346,20.955027400477753,10.818786673532601,14.843232702357373,,0.037836241159370954,5.043152798874627,219223.32623953008
140,31.879807491452716,21.074563633333536,10.80524385811919,14.829689886943962,,0.03621552660873169,4.936615933680858,217396.22820280556
141,31.98419577159109,21.194223336147413,10.789972435443685,14.814418464268456,,0.03462682069031114,4.828691854012171,215621.3134488013
142,32.086971494069175,21.313968338830794,10.77300315523839,14.797449184063161,,0.03307064501915573,4.719486921035482,213896.03557862493
143,32.18812862577878,21.43375909255706,10.754369533221729,14.778815562046502,,0.031547502731291345,4.609111189327967,212217.82036580527
144,32.2876625128617,21.553554713002516,10.734107799859196,14.758553828683967,,0.030057876671495252,4.497678162265246,210584.07385411172
145,32.38556987026468,21.673313027562507,10.712256842702189,14.736702871526962,,0.028602227596526027,4.385304539385984,208992.19042073737
146,32.48184876881599,21.792990626410482,10.688858142405524,14.713304171230295,,0.0271809924006146,4.272109956395926,207439.56078412847
147,32.57649861979819,21.91254291725751,10.663955702540695,14.688401731365467,,0.025794582369989282,4.158216718492181,205923.57993598428
148,32.66952015699766,22.031924183659598,10.637595973338074,14.662042002162844,,0.02444338147315869,4.043749527704501,204441.65497723932
149,32.76091541621778,22.15108764671082,10.609827769506968,14.634273798331739,,0.023127744693606147,3.928835204964431,202991.21283818525
150,32.85068771224886,22.269985529950958,10.58070218229792,14.60514821112269,,0.021847996411457907,3.813602407625398,201569.7078632832
151,32.9388416132946,22.388569127307893,10.55027248598672,14.574718514811492,,0.020604428840576484,3.6981813431671156,200174.62924166064
152,33.025382912861126,22.50678887388685,10.51859403897429,14.543040067799062,,0.01939730052739813,3.5827034798260016,198803.50826478106
153,33.11031859912176,22.624594419411064,10.485724179710708,14.510170208535477,,0.01822683491768246,3.4673012548997275,197453.92539331308
154,33.1936568217768,22.741934704111294,10.45172211766552,14.476168146490291,,0.017093218997172505,3.35210778147838,196123.51711581275
155,33.275406856435026,22.858758036855466,10.41664881957957,14.441094848404342,,0.015996602011971613,3.2372565543571334,194809.98258246004
156,33.35557906654972,22.9750121753035,10.380566891246232,14.405012920071004,,0.014937094274237304,3.122881155885777,193511.0899977661
157,33.43418486294948,23.090644407867426,10.34354045508206,14.367986483906831,,0.013914766058565654,3.009114962508846,192224.68275687567
158,33.51123666101026,23.20560163725212,10.30563502375815,14.330081052582921,,0.012929646594195755,2.896090852746515,190948.6853108435
159,33.586747835522395,23.319830465348,10.266917370174408,14.291363398999179,,0.011981723157904807,2.783940917360949,189681.10874704912
160,33.66073267331261,23.433277279243736,10.22745539406888,14.251901422893651,,0.01107094027218776,2.6727961724452114,188420.0560717341
161,33.73320632368786,23.54588833812413,10.187317985563745,14.211764014388514,,0.010197199013024603,2.562786276162523,187163.72718250277
162,33.804184746774595,23.65760986081649,10.146574885958117,14.171020914782888,,0.009360356431233282,2.454039249852217,185910.42351950632
163,33.87368465983297,23.768388113747235,10.105296546085741,14.129742574910512,,0.008560225091085796,2.3466812042055833,184658.55238494175
164,33.941723481632394,23.87816949906977,10.063553982562638,14.08800001138741,,0.007796572729535985,2.2408360711997237,183406.63092143284
165,34.00831927498078,23.98690064272465,10.021418632256136,14.045864661080907,,0.0070691220390604985,2.1366253424607162,182153.28974081448
166,34.07349068750558,24.094528482193542,9.978962205312056,14.003408234136826,,0.006377550576763601,2.0341678147087454,180897.27619581978
167,34.13725689079131,24.201000353709777,9.936256537081547,13.960702565906319,,0.0057214908020299556,1.9335793429176171,179637.45728816304
168,34.19963751798293,24.30626407869026,9.893373439292686,13.917819468117457,,0.005100530244637282,1.8349726017990569,178372.82220751606
169,34.26065259997078,24.410268049155807,9.850384550814994,13.874830579639765,,0.004514211804860873,1.7384568561987939,177102.48449689825
170,34.32032250027745,24.51296131191054,9.807361188366919,13.83180721719169,,0.003962034186713252,1.6441377409662756,175825.68384102514
171,34.37866784877199,24.614293651254425,9.764374197517583,13.788820226342356,,0.003443452465069309,1.552117050833451,174541.78747519542
172,34.43570947434198,24.714215670007718,9.721493804334271,13.745939833159042,,0.002957878787030752,1.462492540810156,173250.29121333148
173,34.491468336657725,24.81267886863115,9.678789468026597,13.703235496851367,,0.0025046832074811388,1.3753577375745216,171950.82009482884
174,34.54596545716776,24.909635722231073,9.636329734936698,13.66077576376147,,0.002083194658379991,1.2908017623063979,170643.12865090062
175,34.59922184946795,25.00503975524545,9.594182094222514,13.618628123047287,,0.0016927020509401175,1.2089091653802724,169327.10079213456
176,34.6512584491907,25.098845613612852,9.552412835577865,13.576858864402636,,0.0013324555094273022,1.1297597733016425,168002.74932000315
177,34.702096043563444,25.19100913423451,9.511086909328949,13.53553293815372,,0.0010016677349178327,1.053428548237167,166670.21506607562
178,34.751755200788715,25.281487411546816,9.470267789241912,13.494713818066685,,0.0006995154969490682,0.9799854604546311,165329.76566368074
179,34.80025619940069,25.370238861030437,9.430017338370266,13.454463367195038,,0.00042514125059888407,0.9094953739534087,163981.7939577478
180,34.84761895775497,25.457223279490744,9.390395678264237,13.414841707089009,,0.0001776548761381093,0.8420179455304225,162626.81605952096
181,34.89386296381049,25.542401901953742,9.351461061856764,13.375907090681535,,0.0,0.7776075374899386,161265.4690537785
182,34.93900720536363,25.625737455031278,9.313269750332369,13.33771577915714,,0.0,0.7163131441687194,159898.50836711185
183,34.98307010089577,25.70719420661953,9.275875894276256,13.300321923101027,,0.0,0.6581783324106187,158526.8048067069
